ParkID,GreenspaceParkID,ParkName,ParkTypeDescription,Area,Perimeter
79,1087,Belfast Cemetery,Cemetery,20969,576
80,1146,Bengal Reserve,Local/Community Park,2811,216
81,36,Bermuda Reserve,Local/Community Park,1990,216
82,37,Beverley Park,Local/Community Park,25462,955
84,39,Bickerton Reserve,Local/Community Park,5373,527
85,40,Birchdale Reserve,Local/Community Park,1064,173
86,1147,Birdsey Reserve,Local/Community Park,33647,924
87,1119,Bishopdale Mall Reserve,Local/Community Park,3219,267
88,411,Bishopdale Park,Sports Park,68936,1301
89,42,Blighs Garden,Local/Community Park,62191,2649
90,43,Bolero Reserve,Local/Community Park,927,123
92,47,Bower Park,Sports Park,38442,959
93,48,Bradford Park,Sports Park,28771,830
94,49,Branston Park,Sports Park,28500,693
95,50,Briar Reserve,Local/Community Park,393,94
98,56,Brigadoon Reserve,Local/Community Park,3029,294
100,59,Broad Park,Local/Community Park,19073,881
101,1097,Bromley Cemetery,Cemetery,108188,1453
102,61,Bromley Old School Reserve,Local/Community Park,20467,658
103,62,Bromley Park,Sports Park,39236,942
104,1215,Brooklands Playcentre Reserve,Local/Community Park,1701,173
105,65,Broomfield Common,Sports Park,89751,2004
106,66,Brownlee Reserve,Local/Community Park,25053,946
107,1135,Buccleugh Reserve,Local/Community Park,513,95
108,67,Buchan Playground,Local/Community Park,3320,251
109,68,Buchanans Reserve,Local/Community Park,1682,219
110,72,Bullock Reserve,Local/Community Park,2241,190
111,41,Burnside Park,Sports Park,292696,2870
113,76,Cadogan Reserve,Local/Community Park,1474,181
114,77,Calbreath Reserve,Local/Community Park,2745,230
116,79,Cameron Reserve,Local/Community Park,4412,403
117,80,Campion Reserve,Local/Community Park,3755,261
118,81,Canberra Reserve,Local/Community Park,2391,285
119,1127,Canterbury Provincial Council Reserve,Garden & Heritage Park,6117,333
120,82,Carisbrook Playground,Local/Community Park,3929,250
121,83,Carlsen Reserve,Local/Community Park,3386,330
123,1136,Carlyle Reserve,Local/Community Park,936,125
124,85,Carrs Reserve,Sports Park,130845,1779
125,89,Cashmere Riverbank Reserve,Local/Community Park,11187,1315
126,1149,Cashmere Valley Reserve,Local/Community Park,21047,722
127,90,Cashmere View Playground,Local/Community Park,3481,287
128,94,Cathedral Square,Garden & Heritage Park,7036,332
129,95,Cedarwood Reserve,Local/Community Park,12871,807
130,96,Centaurus Park,Local/Community Park,11478,569
131,98,Centaurus Reserve No. 1,Local/Community Park,4986,371
133,99,Centennial Park,Sports Park,96179,1875
134,100,Champion Reserve,Local/Community Park,3552,273
135,1089,Chaneys Plantation,Regional Park,5069640,11460
136,101,Charleston Reserve,Local/Community Park,1646,163
137,1114,Chartwell Reserve,Local/Community Park,4846,283
138,103,Chattertons Reserve,Local/Community Park,41813,820
139,105,Chokebore Reserve,Garden & Heritage Park,1457,153
140,106,Cicada Reserve,Local/Community Park,5968,569
141,107,Clare Park,Sports Park,221562,3529
142,288,Clifford Reserve,Local/Community Park,1006,214
144,111,Cobra Reserve,Local/Community Park,1714,170
145,112,Cockayne Reserve,Regional Park,59431,1953
146,113,Colman Reserve,Local/Community Park,8312,406
147,1170,Colombo Reserve,Local/Community Park,89,47
150,117,Corfe Reserve,Local/Community Park,13699,1173
151,118,Coringa Reserve,Local/Community Park,2429,335
152,359,Parklands Reserve,Sports Park,56849,1093
154,124,Cranmer Square,Garden & Heritage Park,19010,667
155,125,Cricklewood Reserve,Local/Community Park,2889,412
156,126,Crofton Reserve,Local/Community Park,1928,181
157,127,Crosbie Park,Sports Park,73789,1758
158,128,Cross Reserve,Local/Community Park,4353,264
159,130,Cunningham Reserve,Local/Community Park,1716,170
161,133,Curzon Reserve,Local/Community Park,2214,253
162,134,Cuthberts Green,Sports Park,347089,3191
163,135,Cutler Park,Local/Community Park,9120,380
164,136,Cypress Garden Reserve,Sports Park,38291,756
165,138,Daresbury Park,Local/Community Park,5037,493
166,139,Delamare Park,Local/Community Park,10016,413
167,73,Denton Park,Sports Park,74354,1248
168,140,Derwent Reserve,Local/Community Park,5578,338
170,143,Dunedin Reserve,Local/Community Park,10677,415
171,144,Cashmere Village Green,Local/Community Park,4671,319
172,145,Edgar Macintosh Park,Sports Park,50281,1330
173,146,Edgeware Tennis Club,Local/Community Park,7834,369
175,148,Edmonds Band Rotunda,Garden & Heritage Park,2374,255
176,1133,Edmonds Factory Garden,Garden & Heritage Park,7941,402
177,150,Edmonds Park,Sports Park,15378,1006
178,281,Elizabeth Park,Regional Park,167695,2282
179,151,Elmwood Park,Sports Park,65854,1310
180,152,Emlyn Playground,Local/Community Park,2849,291
181,153,Endeavour Playground,Local/Community Park,2469,198
183,155,English Park,Sports Park,29064,863
184,1273,Enticott Reserve,Local/Community Park,911,206
185,156,Erewhon Reserve,Local/Community Park,1254,162
187,1130,Excelsior Hotel Reserve,Garden & Heritage Park,283,81
189,161,Fendalton Park,Sports Park,51309,1148
190,162,Fern Reserve,Local/Community Park,1267,144
191,163,Fernbrook Playground,Local/Community Park,2456,226
192,164,Ferrier Park,Sports Park,31777,777
193,166,Ferrymead Reserve,Garden & Heritage Park,10653,609
194,474,Finnsarby Reserve,Local/Community Park,912,152
195,169,Foley Reserve,Local/Community Park,3410,317
196,170,Foremans Reserve,Local/Community Park,3517,384
197,174,Gainsborough Reserve,Local/Community Park,7605,354
199,1070,Gasson Reserve,Local/Community Park,691,125
200,175,Gilberthorpes Reserve,Local/Community Park,4511,465
201,176,Glebe Reserve,Garden & Heritage Park,3846,797
202,178,Gloaming Reserve,Local/Community Park,2268,192
203,179,Glynne Reserve,Local/Community Park,4007,251
204,1230,Godley Beach Park,Regional Park,87748,5267
205,1131,Godley Statue Reserve,Garden & Heritage Park,787,127
206,1184,Goulding Playground,Local/Community Park,1062,147
208,1120,Grahams Road Berms,Local/Community Park,864,338
209,182,Grampian Reserve,Local/Community Park,10386,516
210,183,Grant Armstrong Park,Sports Park,29296,763
211,184,Greendale Reserve,Local/Community Park,2116,188
212,188,Hagley Park North,Sports Park,908550,6006
213,1213,Hagley Park South,Sports Park,708339,3791
214,44,Botanic Gardens,Garden & Heritage Park,212774,3136
215,189,Halberg Reserve,Local/Community Park,3876,358
216,190,Halifax Reserve,Local/Community Park,2294,176
218,198,Hansons Reserve,Local/Community Park,8458,367
219,199,Harbour Reserve,Local/Community Park,2528,200
220,201,Harewood Park,Garden & Heritage Park,112461,1418
221,202,Harkness Reserve,Local/Community Park,1239,205
222,203,Cornelius O'Connor Reserve,Local/Community Park,4007,253
223,1160,Harrington Park,Sports Park,11204,570
224,205,Hasketts Reserve,Local/Community Park,43575,825
225,206,Hastings Reserve,Local/Community Park,1122,127
226,207,Heaphy Reserve,Local/Community Park,2433,211
227,208,Heathcote Domain,Sports Park,40019,964
228,55,Heathcote Quarry Reserve,Regional Park,75671,1984
229,210,Heidi Reserve,Local/Community Park,1079,136
230,211,Helmore Park,Local/Community Park,3093,317
231,212,Hereford Playground,Local/Community Park,2072,184
232,1244,High Street Triangles,Local/Community Park,1190,333
233,213,Highsted Reserve,Local/Community Park,3085,220
234,214,Hillsborough Park,Sports Park,36004,849
235,215,Hilltop Reserve,Regional Park,1267,220
236,216,Hockey Park,Local/Community Park,6042,448
237,217,Holliss Reserve,Local/Community Park,12685,495
238,347,Holmcroft Reserve,Garden & Heritage Park,3152,239
239,219,Holmes Park,Local/Community Park,11021,734
240,221,Hoon Hay Park,Sports Park,96273,1565
241,1173,Hoon Hay Scouts Reserve,Local/Community Park,1871,335
242,224,Hornby Domain,Sports Park,27245,796
243,226,Hulverstone Reserve,Local/Community Park,3574,748
246,232,Hyde Park,Local/Community Park,6749,428
247,233,Idaho Reserve,Local/Community Park,1605,175
248,234,Idris Reserve,Local/Community Park,1393,160
249,235,Iona Reserve,Local/Community Park,1493,155
250,236,Islington Reserve,Local/Community Park,4149,359
251,237,James Condon Park,Local/Community Park,2028,189
253,1122,Jeffreys Reserve,Local/Community Park,14680,528
255,1277,John Britten Reserve,Regional Park,352217,3179
258,243,Jollies Bush,Regional Park,14017,658
260,245,Juniper Reserve,Local/Community Park,2351,290
261,1248,Kainga Forest,Regional Park,278714,4486
262,376,Kainga Hall Reserve,Local/Community Park,2850,238
263,246,Kainga Park,Sports Park,50089,1154
264,247,Kainga Road Reserve,Local/Community Park,27170,606
265,248,Kaiwara Reserve,Local/Community Park,3085,226
266,249,Kapuatohe Reserve,Garden & Heritage Park,4841,310
267,1228,Karnak Reserve,Local/Community Park,1051,167
269,251,Kendal Reserve,Local/Community Park,2166,200
270,253,Kensington Reserve,Local/Community Park,2833,272
271,255,King Park,Local/Community Park,16705,693
272,1284,Mabel Howard Reserve,Local/Community Park,1047,144
273,256,Kinrara Reserve,Local/Community Park,643,113
274,257,Kinross Reserve,Local/Community Park,1273,151
275,1166,Knowles Plantation,Local/Community Park,2013,466
276,260,Kyle Park,Sports Park,87139,1571
277,261,Laing Reserve,Local/Community Park,1709,274
279,263,Lancewood Reserve,Local/Community Park,1834,301
280,264,Landsdowne Reserve,Local/Community Park,3313,231
281,265,Laramie Reserve,Local/Community Park,762,126
282,266,Larch Reserve,Local/Community Park,4566,400
284,1151,Laura Kent Reserve,Local/Community Park,6718,1062
285,310,Lavandula Reserve,Local/Community Park,1182,171
286,147,Leith Reserve,Local/Community Park,2804,218
287,268,Leslie Park,Sports Park,29152,781
288,1098,Linwood Cemetery,Cemetery,85478,1427
289,270,Linwood Park,Sports Park,91678,1861
290,1234,Little Hagley Park,Garden & Heritage Park,69182,2272
291,271,Lomax Reserve,Local/Community Park,1338,149
292,272,Longhurst Reserve,Local/Community Park,4549,593
296,290,Macfarlane Park,Sports Park,82976,2921
297,291,Mahars Playground,Local/Community Park,6736,329
298,1144,Major Aitken Reserve,Local/Community Park,1402,160
299,295,Major Hornbrook Reserve,Local/Community Park,2277,200
300,296,Malabar Reserve,Local/Community Park,1414,161
301,297,Malvern Park,Sports Park,27028,654
302,298,Mandeville Reserve,Local/Community Park,1315,141
303,299,Marlene Reserve,Local/Community Park,2154,241
304,301,Marshland Domain,Sports Park,20883,581
305,1152,Martindales Reserve No. 2,Local/Community Park,785,111
306,304,Mary Dixon Park,Local/Community Park,3518,361
307,305,The Duncan Park,Local/Community Park,243452,2353
308,306,Marylands Reserve,Sports Park,58893,2334
309,307,Matangi Reserve,Local/Community Park,2788,210
310,308,McCormacks Bay,Sports Park,215445,2570
311,309,McHaffies Reserve,Local/Community Park,3870,272
312,1121,Memorial Ave Reserves,Local/Community Park,1967,557
313,1099,Memorial Park Cemetery,Cemetery,187227,2443
314,312,Mendip Reserve,Local/Community Park,1958,294
315,314,Merrin Reserve,Local/Community Park,490,105
316,315,Middleton Park,Sports Park,51095,1220
317,316,Millbrook Reserve,Garden & Heritage Park,3668,375
318,319,Mitcham Reserve,Local/Community Park,238,70
319,320,Moa Reserve,Local/Community Park,3019,304
320,322,Momorangi Reserve,Local/Community Park,1507,176
322,1153,Monro Playground,Local/Community Park,3043,224
323,137,Montclare Reserve,Local/Community Park,2118,194
324,1274,Monterey Reserve,Local/Community Park,2822,324
325,325,Morley Reserve,Local/Community Park,4069,250
326,326,Morrison Avenue Bowling Club,Local/Community Park,8942,419
327,327,Moyna Playground,Local/Community Park,2009,282
328,329,Mt Pleasant Reserve,Regional Park,134578,1789
329,330,Muir Park,Local/Community Park,10083,425
330,333,Murchison Park,Sports Park,43391,1036
331,334,Natalie Reserve,Local/Community Park,673,107
333,1197,New Brighton Beach,Regional Park,99621,2939
334,58,New Brighton Beach Developed,Regional Park,22363,1278
335,337,Nicholas Playground,Local/Community Park,4559,274
337,339,Nicholson Park,Local/Community Park,37277,953
338,340,Norrie Park,Local/Community Park,3567,272
339,344,Oakhampton Reserve,Local/Community Park,2206,295
340,345,Oakley Reserve,Local/Community Park,1083,178
341,346,Old School Reserve,Local/Community Park,28382,749
342,500,Olliviers Reserve,Local/Community Park,2883,229
344,110,Otara Reserve,Local/Community Park,1492,192
345,350,Ouruhia Reserve,Sports Park,92376,2161
346,351,Owen Mitchell Park,Sports Park,43121,1065
348,352,Paddington Playground,Local/Community Park,13766,482
349,354,Pagoda Playground,Local/Community Park,6420,314
350,355,Palatine Reserve,Local/Community Park,1695,209
351,356,Palinurus Reserve,Local/Community Park,3861,268
352,357,Papanui Domain,Sports Park,27380,705
353,1158,Papanui Memorial Reserve,Garden & Heritage Park,1083,141
354,1157,Papanui Pool Reserve,Sports Park,968,202
355,358,Paprika Reserve,Local/Community Park,2443,267
356,278,Parkham Reserve,Local/Community Park,1997,266
357,120,Cottonwood Reserve,Local/Community Park,2912,230
358,361,Parnham Reserve,Local/Community Park,3108,222
359,363,Patterson Reserve,Local/Community Park,797,179
360,427,Shag Rock Reserve,Local/Community Park,8888,727
362,1188,Pensacola Reserve,Local/Community Park,1577,159
363,369,Pinehurst Reserve,Local/Community Park,3495,379
364,371,Plynlimon Park,Sports Park,13918,504
366,374,Purau Reserve,Local/Community Park,8159,641
368,375,Queen Elizabeth II Park,Sports Park,487127,3044
369,167,Queenspark Reserve,Sports Park,69145,1161
370,377,Radley Park,Local/Community Park,27772,1395
372,380,Ramore Reserve,Local/Community Park,4973,430
373,382,Rat Island Reserve,Local/Community Park,19330,572
374,383,Rawhiti Domain,Sports Park,613543,3603
375,384,Ray Blank Park,Sports Park,49786,1052
376,385,Rearsby Reserve,Local/Community Park,1603,158
377,386,Redcliffs Park,Sports Park,20170,665
378,387,Redwood Park,Sports Park,67765,1687
379,388,Regency Reserve,Local/Community Park,4261,356
380,389,Remuera Reserve,Local/Community Park,6660,377
381,390,Retreat Reserve,Local/Community Park,1304,150
382,392,Riccarton Bush,Local/Community Park,118346,1801
383,393,Richmond Park,Sports Park,37529,1178
384,394,Richmond Playground,Local/Community Park,9747,412
385,395,Ridder Reserve,Local/Community Park,9678,640
386,396,Rimu Park,Local/Community Park,17190,609
387,397,Risingholme Park,Garden & Heritage Park,22437,689
388,398,Robin Playground,Local/Community Park,12639,968
389,399,Wimbrels Way Reserve,Local/Community Park,1970,412
390,400,Rollerdrome Reserve,Sports Park,6413,514
391,401,Rosanna Reserve,Local/Community Park,3092,254
392,402,Rosella Reserve,Local/Community Park,11123,457
393,403,Rossmore Reserve,Local/Community Park,2791,251
395,404,Broadhaven Reserve,Sports Park,43448,1041
396,1084,Roto Kohatu,Regional Park,456006,3607
397,405,Roundabout Reserve,Local/Community Park,5773,917
398,406,Royal Park Reserve,Local/Community Park,2302,199
399,407,Ruapuna Park,Sports Park,527340,3205
400,408,Runnymede Reserve,Local/Community Park,594,109
402,410,Ruskin Reserve,Local/Community Park,2389,225
403,1140,Rutherford Cemetery,Garden & Heritage Park,8148,401
404,412,Rydal Reserve,Local/Community Park,5837,310
405,413,Ryeland Reserve,Local/Community Park,4009,277
406,414,Sabina Playground,Local/Community Park,1570,164
407,415,Sarabande Reserve,Local/Community Park,2308,334
408,1071,Science Alive Reserve,Local/Community Park,936,125
409,420,Scott Park Ferrymead,Local/Community Park,15765,662
410,421,Scott Scenic Reserve,Regional Park,72895,1953
412,423,Sedgewick Reserve,Local/Community Park,16087,587
413,424,Selwyn Reserve,Local/Community Park,1677,221
414,391,Shalamar Reserve,Local/Community Park,1691,203
415,428,Shamrock Reserve,Local/Community Park,1401,147
416,429,Shand Crescent Reserve,Local/Community Park,9751,383
417,430,Shands Reserve,Local/Community Park,10523,992
418,431,Shearer Playground,Local/Community Park,4341,375
419,433,Shirley Community Reserve,Local/Community Park,9520,390
420,434,Shortland Playground,Local/Community Park,6263,416
421,435,Shortland Reserve,Local/Community Park,710,124
424,439,Simeon Park,Local/Community Park,10327,420
425,1295,Ti Rakau Reserve,Local/Community Park,31070,1265
426,102,Charlesworth Reserve,Regional Park,241626,2524
428,1374,Staunton Esplanade Reserve,Local/Community Park,28725,5177
429,1361,Hillary Reserve,Local/Community Park,1331,236
431,1363,Lewisham Reserve,Local/Community Park,1928,198
432,317,Milnebank Reserve,Local/Community Park,6375,675
433,342,Nunweek Park,Sports Park,195868,2532
434,1364,Picton Reserve,Local/Community Park,4673,290
436,1459,Fire Fighters Reserve,Local/Community Park,485,144
437,1132,Poplars Reserve,Garden & Heritage Park,1905,213
438,1278,Scarborough Hill Reserve,Regional Park,2175247,15153
440,15,Brooker Reserve,Local/Community Park,12965,1008
441,440,Siska Reserve,Local/Community Park,1257,268
442,441,Sisson Park,Local/Community Park,2922,416
443,442,Sockburn Park,Sports Park,18704,621
444,75,Soleares Playground,Local/Community Park,7268,415
445,444,Somerfield Park,Sports Park,32202,923
446,446,Southey Reserve,Local/Community Park,1005,211
447,447,Spencer Park,Regional Park,472596,2876
448,450,Spreydon Domain,Sports Park,72609,1386
449,451,Springmead Park,Local/Community Park,6252,462
450,452,Springs Halswell Reserve,Local/Community Park,36658,777
451,454,St Albans Park,Sports Park,63788,1002
452,456,St Albans Tennis Club,Sports Park,4503,313
453,457,St James Park,Sports Park,40140,1316
454,458,St Leonards Park,Sports Park,19931,623
455,460,St Martins Park,Sports Park,17690,937
456,461,Starwood Reserve,Local/Community Park,1363,164
457,464,Stewarts Bush,Local/Community Park,6244,441
458,466,Strathean Reserve,Local/Community Park,1397,196
459,467,Stretton Reserve,Local/Community Park,3153,411
461,472,Sullivan Park,Local/Community Park,10334,484
462,473,Summit Lookout Reserve,Regional Park,839,128
463,1085,Sumnervale Reserve,Local/Community Park,85737,1368
464,46,Sunvale Reserve,Local/Community Park,1463,177
466,477,Sydenham Park,Sports Park,51703,938
467,478,Takahe Reserve,Local/Community Park,1604,158
468,479,Tangmere Reserve,Local/Community Park,5320,330
469,481,Te Awakura Reserve,Local/Community Park,1359,149
470,485,Templeton Country Club,Sports Park,537693,3066
471,486,Templeton Domain,Sports Park,33082,748
473,488,Thackeray Reserve,Local/Community Park,1809,174
475,489,Thomson Scenic Reserve,Regional Park,297739,4555
476,490,Thorrington Reserve,Local/Community Park,3154,340
477,491,Thurleston Reserve,Local/Community Park,748,115
478,493,Tisch Reserve,Local/Community Park,446,97
479,494,Toorak Reserve,Local/Community Park,2581,269
480,495,Torrens Reserve,Local/Community Park,1616,174
481,497,Tralee Reserve,Local/Community Park,3891,425
482,499,Trevor Reserve,Local/Community Park,2334,308
483,502,Twyford Reserve,Local/Community Park,2488,192
484,503,Tyrone Reserve,Local/Community Park,1114,151
485,504,Upper Riccarton Domain,Sports Park,39597,983
487,1193,Vanderbilt Reserve,Local/Community Park,4112,308
488,505,Veitch Reserve,Local/Community Park,544,93
489,1276,Viceroy Reserve,Local/Community Park,2420,215
490,506,Vickerys Reserve,Local/Community Park,5234,346
491,507,Vicki Reserve,Local/Community Park,3581,251
492,1242,Victoria Triangles,Local/Community Park,1447,339
493,510,Vista Reserve,Local/Community Park,2705,386
494,1118,Waimairi Cemetery,Cemetery,48495,909
495,512,Waimea Reserve,Local/Community Park,5422,468
496,514,Waipara Playground,Local/Community Park,4439,342
497,515,Wairakei Reserve,Local/Community Park,11965,762
498,516,Waitohi Reserve,Local/Community Park,1291,144
499,517,Waiwetu Reserve,Local/Community Park,3877,597
500,518,Wakefield Reserve No. 1,Local/Community Park,4449,359
501,519,Wakefield Reserve No. 2,Local/Community Park,14103,809
502,1204,Wales Kindergarten Reserve,Local/Community Park,1392,151
503,520,Wales Reserve,Local/Community Park,1382,149
504,28,Walnut Tree Park,Local/Community Park,3042,288
505,1217,Coopers Knob,Regional Park,205272,2939
506,4,Ahuriri Scenic Reserve,Regional Park,68625,1187
507,173,Friendship Corner,Garden & Heritage Park,2007,202
508,492,Tiffany Reserve,Local/Community Park,1448,178
509,92,Cass Peak,Regional Park,36916,1038
510,119,Coronation Hill Reserve,Regional Park,37604,782
511,328,Mt Cavendish Reserve,Regional Park,259071,3344
513,1142,Tors Scenic Reserve,Regional Park,54181,1167
515,1243,City Mall,Local/Community Park,9126,998
516,471,Sugarloaf Reserve,Regional Park,1098605,7850
518,1222,Cardigan Bay Reserve,Local/Community Park,6644,364
520,1357,Cave Rock Reserve,Regional Park,6473,346
521,1232,Southshore Beach Park,Regional Park,280399,4538
523,522,Walsall Reserve,Local/Community Park,696,109
525,524,Waltham Park,Sports Park,31897,723
526,1155,Warner Reserve,Local/Community Park,3009,229
527,528,Warren Park,Sports Park,158710,1822
528,529,Waterloo Reserve No. 1,Sports Park,4147,301
529,1194,Waterloo Reserve No. 2,Local/Community Park,23775,1649
530,530,West Watson Park,Local/Community Park,26125,648
531,531,Westbrooke Park,Local/Community Park,2558,212
532,532,Westburn Reserve,Sports Park,12004,586
533,535,Westgrove Park,Local/Community Park,8999,414
534,1387,Aylsham Reserve,Local/Community Park,9556,860
535,496,Whaka Reserve No. 1,Local/Community Park,469,108
536,1156,Whaka Reserve No. 2,Local/Community Park,606,105
537,287,Wichita Reserve,Local/Community Park,491,93
538,1247,William Brittan,Local/Community Park,321,106
539,1185,Willowdell Reserve,Local/Community Park,2241,425
540,289,Wilson Park,Local/Community Park,1750,273
542,540,Witch Hill,Regional Park,54348,1160
544,1164,Withells Landscape Reserve,Local/Community Park,154,97
545,543,Wolsey Playground,Local/Community Park,2498,215
546,544,Woodham Park,Garden & Heritage Park,18928,751
547,545,Woodlands Playground,Local/Community Park,4437,295
548,548,Woolston Park,Sports Park,47484,1123
549,1074,Worcester Reserve,Local/Community Park,11967,543
551,550,Worsleys Reserve,Local/Community Park,6496,492
552,551,Wycola Park,Sports Park,43397,1050
553,553,Yaldhurst Bush,Local/Community Park,64399,1301
554,554,Yaldhurst Domain,Sports Park,21385,586
556,556,Yellowstone Reserve,Local/Community Park,2435,220
561,1183,Carmen Reserve,Garden & Heritage Park,14035,603
562,1294,Braddon Reserve,Local/Community Park,2585,391
564,1299,Fairway Reserve,Local/Community Park,10211,437
565,1301,Oakmont Reserve,Local/Community Park,418,101
566,1154,Palatine Native Reserve,Local/Community Park,169,64
567,1303,Packe Reserve,Local/Community Park,2374,234
568,1267,Highcrest Reserve,Local/Community Park,2215,218
569,1240,Washington Way Reserve,Sports Park,7666,392
570,1308,Yaldhurst Cemetery,Cemetery,42824,881
572,448,Spencerville Reserve,Sports Park,12220,825
573,1176,Scarborough Park,Garden & Heritage Park,8418,467
574,165,Sumner Beach,Regional Park,78439,1892
575,222,Hoon Hay Scenic Reserve,Regional Park,164789,2349
576,1311,Huia Gilpin Reserve,Regional Park,82232,1238
577,1312,Reuter Park,Regional Park,232836,3517
578,313,Merivale Village Green,Local/Community Park,794,122
579,366,Petrie Park,Local/Community Park,10689,673
580,1304,Rutland Reserve,Local/Community Park,22436,1431
581,1305,Marble Wood Reserve,Local/Community Park,4310,335
582,1317,Parade Court Reserve,Local/Community Park,2240,294
583,1235,Klondyke Reserve,Local/Community Park,3672,239
585,364,Peebles Reserve,Local/Community Park,4372,300
586,462,Staveley Reserve,Local/Community Park,10021,400
587,353,Paeroa Reserve,Local/Community Park,7283,810
588,1214,Ramahana Reserve,Local/Community Park,1394,494
589,1288,Wilmers Esplanade Reserve,Local/Community Park,1812,274
591,1314,Acorn Reserve,Local/Community Park,2633,304
592,1226,Thistledown Reserve,Local/Community Park,3301,366
593,1092,Regents Park Reserve,Local/Community Park,6550,401
594,432,Sheldon Park,Sports Park,103557,2599
596,1322,Springvale Gardens Reserve,Local/Community Park,5037,339
597,1323,Barnes Reserve,Local/Community Park,16755,825
598,1324,Trecastle Reserve,Local/Community Park,2162,202
599,1148,Tunnel Road Reserve,Local/Community Park,29323,927
600,536,Westlake Reserve,Sports Park,112332,2409
602,1325,Kildare Reserve,Local/Community Park,356,101
606,1298,Cracroft Caverns Reserve,Regional Park,6033,646
608,274,Lower Styx Reserve,Regional Park,1655,205
609,1327,Coutts Island War Memorial Reserve,Local/Community Park,10923,511
611,197,Hansen Park,Sports Park,117664,3061
613,1210,Ferry Esplanade Reserve,Local/Community Park,12948,1832
614,1253,Rose Historic Chapel Reserve,Garden & Heritage Park,1462,157
615,1302,Lytham Reserve,Local/Community Park,716,230
617,1178,Sanscrit Reserve,Local/Community Park,1223,219
618,425,Settlers Reserve,Local/Community Park,130501,2255
619,172,Fortune Playground,Local/Community Park,8617,559
620,277,Wanaka Reserve,Local/Community Park,312,120
621,52,Bridge Reserve,Local/Community Park,65971,1956
622,1075,South New Brighton Park,Sports Park,299822,2880
623,1329,Roydon Drainage Reserve,Local/Community Park,2102,274
624,534,Colchester Reserve,Local/Community Park,5298,573
625,122,Cracroft Reserve,Garden & Heritage Park,34299,840
626,1225,Major Hornbrook Reserve No. 2,Local/Community Park,4198,364
628,1117,Sea Eagles Reserve,Local/Community Park,8365,715
629,225,Horseshoe Lake Reserve,Regional Park,329278,4879
630,23,Avonhead Park,Sports Park,232708,2616
631,204,Harold Henry Park,Local/Community Park,4933,488
632,258,Kirk Reserve,Local/Community Park,15194,516
