ArtWorkLocationID,ArtWorkType,Title,PrimaryArtist,ExecutionDate,InstallationDate,Setting,Category,Ownership
44,Mural/Painting,North Hagley Park Mural,George Kerdemlidis,1996,1996,"Toilets and Shelter, North Hagley Park beside Victoria Lake - Inside walls of shelter.",Community Artwork,Christchurch City Council
45,Fountain/Drinking Fountain/Monument,Diamond Jubilee Clock Tower,Unknown,NULL,NULL,On reserve at intersection of Victoria Street and Montreal Street.,Intergrated Artwork,Christchurch City Council
46,Mural/Painting,Te Ao O Nga Atua,Cliff Whiting,1988,1998,Christchurch Polytechnic - Stairwell of the Information and enrolment building.,Non Public Artwork,Other
47,Mural/Painting,The Happy Mother,Rudolf Boelee,1981,1981,Christchurch Womans Hospital - Mounted onto a wall in stairwell.,Non Public Artwork,Other
48,Sculpture,Javelin Thrower/Athene,Roderick Burgess,1995,1995,"Millennium Hotel, Colombo Street - Placed on the centre of the foyer bar, surrounded by bottles and glass.",Non Public Artwork,Other
49,Mural/Painting,Untitled,Mark Fazackerley,1989,1989,"BNZ building, Hereford Street - The stained glass mural makes up the left wall of the foyer entrance.",Non Public Artwork,Other
50,Sculpture,Echo,Neil Dawson,1981,1981,"North quadrangle, Arts centre - Suspended above the quad, surounded by gothic architecture.",Non Public Artwork,Other
51,Sculpture,Untitled,Matthew Robertson,1993,1993,"Dux de Lux, Arts Centre - Placed beside the path outside the restautant.",Non Public Artwork,Other
52,Sculpture,Untitled,Catherine Thornton,NULL,NULL,"Dux de Lux, Arts centre - Placed on the grass frontage on the corner ofMontreal and Hereford Streets.",Non Public Artwork,Other
53,Sculpture,Untitled,,NULL,NULL,"Dux de Lux, Arts Centre - Placed on a grass area in the courtyard of the Dux de Lux, in the Arts centre.",Non Public Artwork,Other
54,Mural/Painting,Emergency Department Mural,Rena Jarosewitsch,1992,1992,Christchurch Public Hospital - Emergency Department waiting room.,Non Public Artwork,Other
55,Sculpture,Hyman Marks Bust,William Trethewey,1925,NULL,Christchurch Public Hospital - Hospital reception area.,Non Public Artwork,Other
56,Mural/Painting,Le Bon Bolli Mural,Cameron Foggo,1996,NULL,"Le Bon Bolli Resturant, corner Worcester and Montreal Streets - The mural is painted on the cupola ceiling and walls of the resturant.",Non Public Artwork,Other
57,Monument,Runner for the Nurses' Memorial Chapel,Nicola Jackson,1994,1994,"Nurse's Memorial Chapel, Riccarton Avenue - Located down the central aisle.",Non Public Artwork,Other
58,Other,Window of the Guardian Angel,,1864,NULL,"Christchurch Hospital, Riccarton Avenue - Rear of Christchurch Hospital Chapel.",Non Public Artwork,Other
59,Fountain/Drinking Fountain/Monument,Edmonds Telephone Cabinet and Drinking Fountain,William Trethewey,1929,1929,On reserve at the corner of Madras Street/Chester Street.,Urban and Environmental Artwork,Other
60,Fountain/Drinking Fountain,Untitled,Graham Stewart,1996,NULL,"Knox Church, Corner of Bealey Avenue and Victoria Street - Rear of church.",Non Public Artwork,Other
61,Fountain/Drinking Fountain,Untitled,Rena Jarosewitsch,1993,NULL,"Knox Church, Corner of Bealey avenue and Victoria Street -Knox Chapel.",Non Public Artwork,Other
62,Monument,Bishop Harper Memorial,Francis John Williamson,NULL,NULL,"Christchurch Cathedral, Cathedral Square - North transept.",Non Public Artwork,Other
63,Monument,Selwyn Memorial Pulpit,Russell Clark,1884,NULL,"Christchurch Cathedral, Cathedral Square - Front of the nave to the left side.",Non Public Artwork,Other
64,Monument,Stanley Font,Benjamin J. Mountford,1881,NULL,Christchurch Cathedral - Nor'west corner of the nave.,Non Public Artwork,Other
65,Monument,Font Cover,Benjamin J. Mountford,1892,NULL,Christchurch Cathedral - Nor'west corner of the nave.,Non Public Artwork,Other
66,Other,Scott Centennial Windows,W. A. Sutton,1981,NULL,"Christchurch Cathedral, Cathedral Square - North Transept.",Non Public Artwork,Other
67,Monument,Pyatt and Tukutuku Memorial,Mae Taurua,1983,NULL,Christchurch Cathedral - North wall of the Cathedral.,Non Public Artwork,Other
68,Embroidery/Tapestry/Weaving,Dossal for Higher Alter,W. A. Sutton,1981,NULL,Christchurch Cathedral - Placed as a backdrop to the high altar.,Non Public Artwork,Other
69,Fountain/Drinking Fountain,Barrnett Park Drinking Fountain,Unknown,NULL,NULL,On reserve at Barrnett Park adjacent to footpath on Main Road.,Intergrated Artwork,Christchurch City Council
70,Fountain/Drinking Fountain,Avon Park Drinking Fountain,Unknown,NULL,NULL,On reserve in Avon Park.,Intergrated Artwork,Christchurch City Council
71,Fountain/Drinking Fountain,Bridle Path Drinking Fountain,Unknown,NULL,NULL,On roadway in car park at Heathcote end of Bridle Path.,Intergrated Artwork,Christchurch City Council
72,Fountain/Drinking Fountain,Brighton – North Beach Drinking Fountain,Unknown,1940,NULL,On reserve in foreshore car park next to NNBWM Community Centre opposite the end of Bowhill Road.,Intergrated Artwork,Christchurch City Council
73,Fountain/Drinking Fountain,Clare Road Drinking Fountain,Unknown,NULL,NULL,On street in Clare Road near Papanui Road.,Intergrated Artwork,Christchurch City Council
74,Fountain/Drinking Fountain,Hackthorne Road Reservoir Drinking Fountain,Unknown,NULL,NULL,"Inside road boundary on reservoir site in Hackthorne Road, opposite 105 Hackthorne Road.",Intergrated Artwork,Christchurch City Council
75,Fountain/Drinking Fountain,Harper Memorial Drinking Fountain,Unknown,1981,NULL,Cathedral Square near Cenotaph on Cathedral land.,Intergrated Artwork,Christchurch City Council
76,Fountain/Drinking Fountain,Linwood Park Drinking Fountain,Unknown,NULL,NULL,On reserve in Linwood Park beside cycleway between Randolph and Mackworth Streets.,Intergrated Artwork,Christchurch City Council
77,Fountain/Drinking Fountain,Rhodes Spring,Unknown,1914,NULL,Situated on reserve land below Coopers Knob beside Summit Road.,Intergrated Artwork,Christchurch City Council
78,Fountain/Drinking Fountain,Richmond Park Drinking Fountain,Unknown,NULL,NULL,On reserve in Richmond Park at end of Poulton Avenue.,Intergrated Artwork,Christchurch City Council
79,Fountain/Drinking Fountain/Monument,Scarborough Clock Tower,Unknown,1852,NULL,On reserve in Scarborough Park.,Intergrated Artwork,Christchurch City Council
80,Fountain/Drinking Fountain,South Brighton Drinking Fountain,Unknown,NULL,NULL,On reserve next to Surf Club pavilion on walkway to beach.,Intergrated Artwork,Christchurch City Council
81,Fountain/Drinking Fountain,Sydenham Park Drinking Fountain,Unknown,1903,NULL,On reserve in Sydenham Park at Brougham /Colombo street corner.,Intergrated Artwork,Christchurch City Council
82,Fountain/Drinking Fountain,Victoria Park Drinking Fountain,Unknown,NULL,NULL,On reserve beside toilets adjacent main car park.,Intergrated Artwork,Christchurch City Council
83,Fountain/Drinking Fountain,Victoria Park Drinking Fountain,Unknown,NULL,NULL,On H.G. Ell walkway in Skellerup Reserve on Top Plateau.,Intergrated Artwork,Christchurch City Council
84,Fountain/Drinking Fountain,Botanic Gardens Fountain/Regret,Sam Mahon,NULL,NULL,Botanic Gardens on east end of Archery Lawn.,Intergrated Artwork,Other
85,Fountain/Drinking Fountain,Conifer Place Fountain,Unknown,NULL,NULL,On street in Cul-De-Sac end of Conifer Place.,Intergrated Artwork,Christchurch City Council
86,Fountain/Drinking Fountain,Merle Place Fountain,Unknown,NULL,NULL,On street in centre of cul-de-sac end of Merle Place.,Intergrated Artwork,Other
87,Fountain/Drinking Fountain,Mona Vale Fountain,Unknown,NULL,NULL,On reserve at Mona Vale in the lilly pond.,Intergrated Artwork,Christchurch City Council
88,Fountain/Drinking Fountain,Papanui Fountain,Unknown,1983,NULL,On street corner of Horner Street and Papanui Road.,Intergrated Artwork,Christchurch City Council
89,Fountain/Drinking Fountain,Royds Street Fountain,Unknown,NULL,NULL,On street at end of cul–de–sac.,Intergrated Artwork,Christchurch City Council
90,Sculpture,Park Panorama,Bruce Edgar,1996,NULL,"Regent on Worchester Street, Worcester Street - Mounted on the wall over the stairwell, looking on to the foyer.",Non Public Artwork,Other
91,Mural/Painting,South Island Landscape,Robert McDowell,1988,NULL,"Noah's Hotel, Oxford terrace - Hung above reception in entrance foyer.",Non Public Artwork,Other
92,Sculpture,The Law Relaxes,Val Griffith Jones,1988,NULL,"Rumpole's Bar, Parkroyal Hotel, corner of Durham and Victoria Streets - Situated in a balcony alcove in the rafters.",Non Public Artwork,Other
93,Fountain/Drinking Fountain,Untitled,Chris Maclean,1992,NULL,"National Archives Building, Peterborough Street - Mounted in the entrance stairwell.",Non Public Artwork,Other
94,Fountain/Drinking Fountain,Magnificat,Philip Trusttum,1980,NULL,"Cathedral of the blessed Sacrament, Barbados Street - Wall of the Lady Chapel.",Non Public Artwork,Other
95,Sculpture,Christ Has Died - Christ Has Risen,Ria Bancroft,1977,NULL,The Cathedral of the Blessed Sacrement - The Blessed Sacrement Chapel.,Non Public Artwork,Other
96,Embroidery/Tapestry/Weaving,Earth and Heaven United,Ida Lough,1977,NULL,"The Cathedral of the Blessed Sacrament, Barbados Street - The Blessed Sacramant Chapel.",Non Public Artwork,Other
97,Monument,Post Office Clock,Unknown,1879,NULL,Cathedral Square old Post Office building - Set in tower of old Chief Post Office building in south west corner of Cathedral Square.,Urban and Environmental Artwork,Christchurch City Council
98,Monument,New Brighton Clock Tower,Unknown,1934,NULL,On reserve in Marine Parade on foreshore opposite the end of Seaview Road.,Urban and Environmental Artwork,Christchurch City Council
99,Fountain/Drinking Fountain,Scott Reserve Fountain,Unknown,1972,NULL,On reserve in Oxford Terrace at Worcester Street.,Intergrated Artwork,Other
100,Fountain/Drinking Fountain,Shand Crescent Reserve Fountain,Unknown,1977,NULL,On reserve at Riccarton Road frontage of Shand Crescent Reserve.,Intergrated Artwork,Christchurch City Council
101,Fountain/Drinking Fountain,Stewart Fountain,Unknown,1970,NULL,High Street/Colombo Streets on reserve.,Intergrated Artwork,Christchurch City Council
102,Monument,19th Battalion Memorial Plane Table,Unknown,1995,NULL,On reserve at rear of 19th Battalion Memorial site in Victoria Park.,Intergrated Artwork,Christchurch City Council
103,Other,Botanic Gardens Sundial,Unknown,1954,NULL,Botanic Gardens in the centre of the Rose Garden.,Intergrated Artwork,Christchurch City Council
104,Fountain/Drinking Fountain,Botanic Gardens Drinking Fountain,Unknown,NULL,NULL,Botanic Gardens at east end of Archery Lawn adjacent to Evelyn Couzins Memorial.,Intergrated Artwork,Christchurch City Council
105,Fountain/Drinking Fountain,Botanic Gardens Drinking Fountain,Unknown,NULL,NULL,Botanic Gardens on western edge of pond below Rock Garden on Harper Lawn.,Intergrated Artwork,Christchurch City Council
106,Fountain/Drinking Fountain,Drinking Fountain & Acclimatisation Society Plaque,Unknown,1967,NULL,"Botanical Gardens, north west of Murray Aynsley Lawn.",Intergrated Artwork,Christchurch City Council
107,Other,Botanic Gardens Sundial,Unknown,NULL,NULL,Botanic Gardens in centre of Herbaceous Border adjacent walkway.,Intergrated Artwork,Christchurch City Council
108,Other,Botanic Garden Seat,Unknown,NULL,NULL,Botanic Gardens in centre of Herbaceous Border adjacent walkway.,Intergrated Artwork,Christchurch City Council
109,Monument,Brighton War Memorial,Unknown,NULL,NULL,On reserve on Brighton foreshore opposite the end of Beresford Street at the top of the demolished sound shell seating.,Intergrated Artwork,Christchurch City Council
110,Monument,Cave Rock War Memorial Drinking Fountain,Unknown,1902,NULL,On walkway leading to Cave Rock.,Intergrated Artwork,Christchurch City Council
111,Other,Cracroft Reserve Sundial,Unknown,NULL,NULL,"In the grounds of the sign of the Takahe at end of the main lawn, corner Hackthorne Road and Dyers Pass Road.",Intergrated Artwork,Christchurch City Council
112,Monument,Heathcote War Memorial,Unknown,NULL,NULL,At the corner of Flavell Street and Martindales Road.,Urban and Environmental Artwork,Christchurch City Council
113,Other,Lamp Standard South Latimer Square,Unknown,NULL,NULL,In centre of reserve South Latimer Square.,Intergrated Artwork,Christchurch City Council
114,Other,Lamp Standard North Latimer Square,Unknown,NULL,NULL,In centre of reserve North Latimer Square.,Intergrated Artwork,Christchurch City Council
115,Other,Lamp Standards North and South Cranmer Square,Unknown,NULL,NULL,On reserve in Cranmer Square.,Intergrated Artwork,Christchurch City Council
116,Monument,Hitching Post,Unknown,NULL,NULL,On street in Worcester Street outside Christchurch Club.,Intergrated Artwork,Christchurch City Council
117,Monument,Memorial Seat Hagley Park,Unknown,1911,NULL,Adjacent to driveway inside entrance to North Hagley Park and Botanical Gardens car park off Riccarton Avenue.,Intergrated Artwork,Christchurch City Council
118,Other,Memorial Seat Victoria Park,Unknown,1978,NULL,On reserve below and part of Memorial to 19th Infantry Battalion and Armoured Regiment.,Intergrated Artwork,Christchurch City Council
119,Monument,19th Infantry Battalion and Armoured Regiment,Unknown,NULL,NULL,On reserve near the middle of Victoria Park.,Urban and Environmental Artwork,Christchurch City Council
120,Monument,Papanui War Memorial,Unknown,NULL,NULL,On Council land on corner of Horner Street and Papanui Road.,Urban and Environmental Artwork,Christchurch City Council
121,Other,Mona Vale Sundial,Unknown,NULL,NULL,On reserve south side of driveway to car park.,Urban and Environmental Artwork,Christchurch City Council
122,Fountain/Drinking Fountain,Pilgrims Well,Unknown,1930,NULL,Botanical Gardens on north bank of Avon River west of Victoria Lake.,Intergrated Artwork,Christchurch City Council
123,Other,Old Signal Standards Shag Rock,Unknown,NULL,NULL,On reserve frontage at Shag Rock Main Road Sumner - Three stone cairns with concrete and galvanised lamp standards and lanterns on top.,Intergrated Artwork,Christchurch City Council
124,Other,Plane Table Cracroft Reserve,Unknown,1967,NULL,"On reserve walkway on way to viewing platform, Cracroft Reserve between Hackthorne Road and Dyers Pass Road.",Intergrated Artwork,Christchurch City Council
125,Monument,Sheldon Park War Memorial,Unknown,1921,NULL,On reserve in Sheldon Park.,Urban and Environmental Artwork,Christchurch City Council
126,Monument,Sign of the Kiwi Toll Gate,Harry Ell,1922,NULL,"On Summit Road adjacent to cattle stop, below Sign of the Kiwi resthouse.",Intergrated Artwork,Christchurch City Council
127,Monument,Steam Wharf Monument,Unknown,1940,NULL,On reserve at the outlet of Steam Wharf Drain into the Heathcote River at the Tunnel Road bridge.,Urban and Environmental Artwork,Christchurch City Council
128,Monument,Sumner Beach War Memorial,Unknown,NULL,NULL,On the reserve adjacent to the foot path on the Esplanade between Main Road and Cave Rock - Eleven stone cairns with iron lamp standards on top.,Urban and Environmental Artwork,Christchurch City Council
129,Other,Sumner Sundial,Unknown,NULL,NULL,On reserve at the corner of Marriner Street and The Esplanade. Opposite the Surf Club.,Intergrated Artwork,Christchurch City Council
130,Monument,Taylors Mistake Surf Club Memorial Sundial,Unknown,1924,NULL,At Taylors Mistake on front forecourt of surf club.,Urban and Environmental Artwork,Christchurch City Council
131,Monument,The Bricks,Unknown,1926,NULL,On reserve at the corner of Oxford Terrace and Barbadoes Street.,Urban and Environmental Artwork,Christchurch City Council
132,Monument,Victoria Diamond Jubilee Memorial,Unknown,1897,2000,On reserve at foot of pathway to Visitor Centre and Park Ranger HQ in Victoria Park.,Intergrated Artwork,Christchurch City Council
133,Monument,War Memorial Memorial Avenue,Unknown,NULL,NULL,On centre island at Memorial Avenue Greers Road intersection.,Urban and Environmental Artwork,Christchurch City Council
134,Monument/Other,Woolston Borough Monument,Unknown,1893,NULL,On street at Ferry Road/Richardson Terrace intersection.,Urban and Environmental Artwork,Christchurch City Council
135,Other,Woolston Park Sundial,Unknown,NULL,NULL,In centre of pathway leading into park from Richardson Terrace entrance.,Intergrated Artwork,Christchurch City Council
136,Plaque,Cathedral Square Commemorative Plaque,Unknown,NULL,NULL,In West Cathedral Square to the north of the old Chief Post Office.,Plaques,Christchurch City Council
137,Plaque,Main Road Coronation Commemorative Plaque,Unknown,1891,NULL,On grassed reserve at bottom of Clifton Terrace opposite the Sumner Surf Club.,Plaques,Christchurch City Council
138,Plaque,Russley Road Commemorative Plaque,Unknown,NULL,NULL,On street in Russley Road north of Ryans Road.,Plaques,Christchurch City Council
139,Monument/Other,Botanic Gardens Band Rotunda,Unknown,1925,NULL,Botanic Gardens at eastern end of Harmans Grove on south side of Avon River.,Intergrated Artwork,Christchurch City Council
140,Monument/Other,Botanic Gardens Band Rotunda,Unknown,1925,NULL,Botanic Gardens at eastern end of Harmans Grove on south side of Avon River.,Intergrated Artwork,Christchurch City Council
141,Other,Woodham Park Gazebo,Unknown,NULL,NULL,On reserve in Woodham Park to the right of playground.,Intergrated Artwork,Christchurch City Council
142,Other,Cob Cottage,Unknown,1862,NULL,On corner of Scott Park at Ferrymead Bridge end.,Intergrated Artwork,Christchurch City Council
143,Other,H F Herbert Memorial Shelter,Unknown,1945,NULL,Botanic Gardens overlooking children’s play ground.,Intergrated Artwork,Christchurch City Council
144,Other,Sign of the Kiwi,Unknown,1916,NULL,Above the intersection of Dyers Pass Road and the Summit Road.,Intergrated Artwork,Christchurch City Council
145,Sculpture,Botanic Gardens Brass Gnome,Unknown,NULL,NULL,Botanic Gardens in corner of garden plot on east entrance to children’s play ground.,Intergrated Artwork,Christchurch City Council
146,Sculpture,Cunningham House Marble Statue,Unknown,1860,NULL,"Botanical Gardens, inside Cunningham House on first landing of left-hand staircase.",Urban and Environmental Artwork,Christchurch City Council
147,Sculpture,Cunningham House Marble Statue,Unknown,1860,NULL,"Botanical Gardens, inside Cunningham House on first landing of right-hand staircase.",Urban and Environmental Artwork,Christchurch City Council
148,Other,Oamaru Stone Urns,Unknown,NULL,NULL,"Botanical Gardens, at either side of stone steps on main pathway leading down to Woodlands bridge, adjacent to First Tree Lawn.",Intergrated Artwork,Christchurch City Council
149,Sculpture,The Four Winds,Jenny Doyle,1988,NULL,On street at Clyde Road – Fendalton Road intersection.,Urban and Environmental Artwork,Christchurch City Council
150,Sculpture,Townend House Marble Statue,Unknown,NULL,NULL,Botanical Gardens inside Townend House.,Urban and Environmental Artwork,Christchurch City Council
151,Sculpture,Townend House Cherubs,Unknown,NULL,NULL,Botanical Gardens inside Townend House.,Urban and Environmental Artwork,Christchurch City Council
152,Other,Christchurch Quay monument/Radley Wharf,Unknown,1851,NULL,On riverbank on the corner of Ferry Road and Richardson Terrace.,Intergrated Artwork,Christchurch City Council
153,Sculpture,Mani Stone Carving,Unknown,NULL,NULL,Botanic Gardens in Pinetum adjacent to United car park.,Urban and Environmental Artwork,Christchurch City Council
154,Other,New Brighton Sound Shell Steps,Unknown,NULL,NULL,On reserve Brighton Foreshore at end of new Library Development.,Intergrated Artwork,Christchurch City Council
155,Other,Scarborough Park Community BBQ,Unknown,1993,NULL,On reserve in Scarborough Park.,Intergrated Artwork,Christchurch City Council
156,Other,Woolston Park Gardens Steps and Wall,Unknown,NULL,NULL,In garden area off Richardson Terrace entrance.,Intergrated Artwork,Christchurch City Council
157,Other,Cockayne Reserve Shelter,Unknown,NULL,NULL,Adjacent to New Brighton Road on Cockayne Reserve.,Intergrated Artwork,Christchurch City Council
158,Monument,Ruru Lawn Cemetery War Memorial,Unknown,NULL,NULL,Ruru Lawn Cemetery Ruru Road War Graves section.,Urban and Environmental Artwork,Christchurch City Council
159,Monument,Ruru Lawn Cemetery War Memorial,Unknown,NULL,NULL,"Ruru Lawn Cemetery Ruru Road, War Graves section.",Urban and Environmental Artwork,Christchurch City Council
160,Other,Sullivan Memorial Seat,Unknown,NULL,NULL,Ruru Lawn Cemetery inside Raymond Road entrance.,Intergrated Artwork,Christchurch City Council
161,Monument,Ballantyne Memorial Rose Garden,Unknown,1947,NULL,Ruru Lawn Cemetery west of the War Graves section.,Urban and Environmental Artwork,Christchurch City Council
162,Other,Burwood War Memorial,Unknown,NULL,NULL,Corner of Lake Terrace Road and New Brighton Road.,Urban and Environmental Artwork,Christchurch City Council
163,Other,Barbadoes Street Cemetery Gatehouse,Unknown,NULL,NULL,Main entrance to Barbadoes Street Cemetery off Cambridge Terrace.,Intergrated Artwork,Christchurch City Council
164,Other,Barbadoes Street Cemetery Plane Table,Unknown,NULL,NULL,Inside cemetery directly in front of gatehouse off Cambridge Terrace.,Intergrated Artwork,Christchurch City Council
165,Monument/Other,Edmonds Band Rotunda,Unknown,1929,NULL,On riverbank reserve in Cambridge Terrace west of Manchester Street bridge.,Intergrated Artwork,Christchurch City Council
